Country name,Geographical code,Household unique ID,Enumeration Area,Household unique identifier,urbrur,loc5,loc7,Survey month,Survey year,Adult equivalent scale,Total number of residents excluding household help,"Weights from sampling, used in weighting statistics calculated from individual l","WTA_S multiplied by HHSIZE, normally used in weighting statistics calculated fro",RECODE of urbrur (Urban/Rural),Total value of foods other than purchased,(sum) FD_P_CER,(sum) FD_P_MEAT,(sum) FD_P_VEG,(sum) FD_P_FRUIT,(sum) FD_P_PULS,(sum) FD_P_STAR,Total value of nonalcoholic beverages other than purchased,"Total expenditure on purchased food excluding beverages, tobacco, catering and r",Total expenditure on purchased non-alcoholic beverages,Food expenditure at restaurants,Recall period in weeks,"Total food expenditure, sum of variables prefixed fd",_merge
Ghana,Western,70001/01,70001,1,Urban ,Other Urban ,Urban Coastal,10,2016,0.75999999,1,482.5689515,482.5689392,Urban,0,0,0,0,0,0,0,0,4118.660018,306.6000042,236.5199928,0.714285731,4661.780273,matched (3)
Ghana,Western,70001/02,70001,2,Urban ,Other Urban ,Urban Coastal,10,2016,5.590000033,7,482.5689515,3377.982666,Urban,0,0,0,0,0,0,0,0,8459.240024,890.6000004,87.60000229,0.714285731,9437.439453,matched (3)
Ghana,Western,70001/03,70001,3,Urban ,Other Urban ,Urban Coastal,10,2016,1,1,482.5689515,482.5689392,Urban,0,0,0,0,0,0,0,0,5445.799995,2562.300007,5927.599976,0.714285731,13935.69922,matched (3)
Ghana,Western,70001/04,70001,4,Urban ,Other Urban ,Urban Coastal,10,2016,2.75999999,3,482.5689515,1447.706909,Urban,0,0,0,0,0,0,0,0,3318.579994,857.0200043,1927.199982,0.714285731,6102.800293,matched (3)
Ghana,Western,70001/05,70001,5,Urban ,Other Urban ,Urban Coastal,10,2016,6.709999919,9,482.5689515,4343.120605,Urban,0,0,0,0,0,0,0,0,5099.779969,1459.999985,430.7000122,0.714285731,6990.47998,matched (3)
Ghana,Western,70001/06,70001,6,Urban ,Other Urban ,Urban Coastal,10,2016,1.519999981,2,482.5689515,965.1378784,Urban,0,0,0,0,0,0,0,0,2772.966776,306.6000023,0,0.714285731,3079.566895,matched (3)
Ghana,Western,70001/07,70001,7,Urban ,Other Urban ,Urban Coastal,10,2016,8.379999995,10,482.5689515,4825.689453,Urban,0,0,0,0,0,0,0,0,5340.679985,354.779974,846.8000126,0.714285731,6542.259766,matched (3)
Ghana,Western,70001/08,70001,8,Urban ,Other Urban ,Urban Coastal,10,2016,1.450000048,2,482.5689515,965.1378784,Urban,0,0,0,0,0,0,0,0,1308.159987,131.3999977,262.7999954,0.714285731,1702.360107,matched (3)
Ghana,Western,70001/09,70001,9,Urban ,Other Urban ,Urban Coastal,10,2016,3.799999952,5,482.5689515,2412.844727,Urban,0,0,0,0,0,0,0,0,14030.59999,1036.600006,0,0.714285731,15067.19922,matched (3)
Ghana,Western,70001/10,70001,10,Urban ,Other Urban ,Urban Coastal,10,2016,1.75999999,2,482.5689515,965.1378784,Urban,0,0,0,0,0,0,0,0,614.6600018,248.2000065,1864.420013,0.714285731,2727.280029,matched (3)
Ghana,Western,70001/11,70001,11,Urban ,Other Urban ,Urban Coastal,10,2016,1,1,482.5689515,482.5689392,Urban,0,0,0,0,0,0,0,0,381.0600004,154.7600098,2073.20005,0.714285731,2609.02002,matched (3)
Ghana,Western,70001/12,70001,12,Urban ,Other Urban ,Urban Coastal,10,2016,2,2,482.5689515,965.1378784,Urban,0,0,0,0,0,0,0,0,1829.379989,3788.699966,1898,0.714285731,7516.080078,matched (3)
Ghana,Western,70001/14,70001,14,Urban ,Other Urban ,Urban Coastal,10,2016,1.519999981,2,482.5689515,965.1378784,Urban,0,0,0,0,0,0,0,0,2154.960004,0,0,0.714285731,2154.959961,matched (3)
Ghana,Western,70001/15,70001,15,Urban ,Other Urban ,Urban Coastal,10,2016,4.819999933,6,482.5689515,2895.413818,Urban,0,0,0,0,0,0,0,0,6248.799987,886.2199936,0,0.714285731,7135.02002,matched (3)
Ghana,Western,70002/01,70002,1,Urban ,Other Urban ,Urban Coastal,10,2016,1,1,490.1662214,490.1662292,Urban,0,0,0,0,0,0,0,0,1512.56003,255.5,2467.399979,0.714285731,4235.459961,matched (3)
Ghana,Western,70002/02,70002,2,Urban ,Other Urban ,Urban Coastal,10,2016,2.789999962,3,490.1662214,1470.498657,Urban,0,0,0,0,0,0,0,0,7337.959917,711.0199966,700.7999878,0.714285731,8749.780273,matched (3)
Ghana,Western,70002/03,70002,3,Urban ,Other Urban ,Urban Coastal,10,2016,2.449999988,3,490.1662214,1470.498657,Urban,0,0,0,0,0,0,0,0,9600.95999,886.2199745,365,0.714285731,10852.17969,matched (3)
Ghana,Western,70002/04,70002,4,Urban ,Other Urban ,Urban Coastal,10,2016,4.560000002,7,490.1662214,3431.163574,Urban,0,0,0,0,0,0,0,0,6878.059979,306.6000061,0,0.714285731,7184.660156,matched (3)
Ghana,Western,70002/05,70002,5,Urban ,Other Urban ,Urban Coastal,10,2016,2.040000021,3,490.1662214,1470.498657,Urban,0,0,0,0,0,0,0,0,3981.419993,291.9999924,0,0.714285731,4273.419922,matched (3)
Ghana,Western,70002/06,70002,6,Urban ,Other Urban ,Urban Coastal,10,2016,1.550000012,2,490.1662214,980.3324585,Urban,0,0,0,0,0,0,0,0,5147.959991,408.7999935,1197.200005,0.714285731,6753.959961,matched (3)
Ghana,Western,70002/07,70002,7,Urban ,Other Urban ,Urban Coastal,10,2016,2.279999971,3,490.1662214,1470.498657,Urban,0,0,0,0,0,0,0,0,8584.80001,204.3999977,189.8000031,0.714285731,8979,matched (3)
Ghana,Western,70002/08,70002,8,Urban ,Other Urban ,Urban Coastal,10,2016,4.069999993,5,490.1662214,2450.831055,Urban,0,0,0,0,0,0,0,0,8628.599964,204.4000015,598.5999985,0.714285731,9431.599609,matched (3)
Ghana,Western,70002/09,70002,9,Urban ,Other Urban ,Urban Coastal,10,2016,1,1,490.1662214,490.1662292,Urban,0,0,0,0,0,0,0,0,2446.960012,700.8000031,2438.200012,0.714285731,5585.959961,matched (3)
Ghana,Western,70002/10,70002,10,Urban ,Other Urban ,Urban Coastal,10,2016,4.619999945,6,490.1662214,2940.997314,Urban,0,0,0,0,0,0,0,0,7679.599958,383.9799995,583.9999924,0.714285731,8647.580078,matched (3)
